#FamilyID	pvalue	Significant at 0.05
OG0002823	0.025	y
OG0002824	0.025	y
OG0002828	0.025	y
OG0002829	0.025	y
OG0002830	0.025	y
OG0002831	0.025	y
OG0002836	0.025	y
OG0002837	0.025	y
OG0002838	0.025	y
OG0002839	0.025	y
OG0002844	0.025	y
OG0002845	0.025	y
OG0002847	0.016	y
OG0002850	0.025	y
OG0002857	0	y
OG0002860	0.025	y
OG0002862	0	y
OG0002863	0.025	y
OG0002865	0.025	y
OG0002866	0.025	y
OG0002875	0.025	y
OG0002890	0.025	y
OG0002892	0.005	y
OG0002900	0	y
OG0002905	0.025	y
OG0002910	0.025	y
OG0002925	0	y
OG0002928	0.025	y
OG0002929	0.025	y
OG0002932	0.025	y
OG0002943	0.025	y
OG0002949	0.025	y
OG0002950	0.025	y
OG0002951	0.025	y
OG0002952	0.025	y
OG0002953	0.025	y
OG0002954	0.025	y
OG0002955	0.025	y
OG0002956	0.025	y
OG0002957	0.025	y
OG0002959	0	y
OG0002960	0.025	y
OG0002961	0	y
OG0002969	0.025	y
OG0002971	0.025	y
OG0002972	0.025	y
OG0002973	0.025	y
OG0002979	0.025	y
OG0002984	0.002	y
OG0002988	0.025	y
OG0002989	0.025	y
OG0002990	0.025	y
OG0002992	0.025	y
OG0003006	0.016	y
OG0003011	0.025	y
OG0003012	0.025	y
OG0003013	0.025	y
OG0003014	0.025	y
OG0003015	0.025	y
OG0003016	0.025	y
OG0003019	0.025	y
OG0003029	0.025	y
OG0003030	0.025	y
OG0003031	0.025	y
OG0003034	0.005	y
OG0003035	0.025	y
OG0003036	0.025	y
OG0003037	0.025	y
OG0003038	0.025	y
OG0003039	0.025	y
OG0003040	0.025	y
OG0003041	0.025	y
OG0003044	0.025	y
OG0003045	0.005	y
OG0003046	0.011	y
OG0003048	0.015	y
OG0003050	0.025	y
OG0003052	0.025	y
OG0003062	0.025	y
OG0003067	0.025	y
OG0003068	0.025	y
OG0003072	0.005	y
OG0003079	0.025	y
OG0003080	0.025	y
OG0003081	0.025	y
OG0003089	0.025	y
OG0003090	0.025	y
OG0003091	0.025	y
OG0003095	0	y
OG0003096	0.025	y
OG0003097	0.025	y
OG0003098	0.025	y
OG0003099	0.025	y
OG0003100	0.025	y
OG0003101	0.025	y
OG0003102	0.025	y
OG0003103	0.025	y
OG0003109	0.015	y
OG0003115	0.005	y
OG0003118	0.025	y
OG0003120	0.005	y
OG0003133	0.025	y
OG0003134	0.025	y
OG0003135	0.025	y
OG0003136	0.025	y
OG0003140	0.025	y
OG0003148	0	y
OG0003169	0.025	y
OG0003171	0.025	y
OG0003181	0.025	y
OG0003182	0.025	y
OG0003183	0.025	y
OG0003187	0.025	y
OG0003188	0.025	y
OG0003192	0.025	y
OG0003193	0.025	y
OG0003194	0.008	y
OG0003196	0.025	y
OG0003197	0.001	y
OG0003198	0	y
OG0003207	0.025	y
OG0003211	0.005	y
OG0003213	0.025	y
OG0003215	0.025	y
OG0003216	0.025	y
OG0003217	0	y
OG0003218	0	y
OG0003219	0.025	y
OG0003221	0.025	y
OG0003222	0	y
OG0003231	0.025	y
OG0003232	0.025	y
OG0003235	0	y
OG0003236	0	y
OG0003237	0.004	y
OG0003238	0.006	y
OG0003239	0.021	y
OG0003243	0.002	y
OG0003244	0	y
OG0003245	0	y
OG0003250	0	y
OG0003253	0	y
OG0003282	0	y
